,뉴스제목,신문사,기자,입력시간,뉴스기사,url
0,  [속보] 美英의 후티 공습 후 10개국 공동 지지 성명…한국도 동참  ,MBN,입력 2024. 1. 12. 10:39,2024. 1. 12. 10:39,美英의 후티 공습 후 10개국 공동 지지 성명…한국도 동참< Copyright ⓒ MBN(www.mbn.co.kr)무단전재 및 재배포 금지 >,http://v.daum.net/v/20240112103931290
1,"  [속보]바이든? 날리면?..법원 ""MBC, 정정보도하라""  ",kbc광주방송,고우리,2024. 1. 12. 10:39,"서울서부지법 민사합의12부는 외교부가 MBC를 상대로 낸 정정보도 청구 소송에서 ""이 사건 판결 확정 후 최초로 방송되는 뉴스데스크 첫머리에 진행자로 하여금 정정보도문을 통상적인 진행 속도로 1회 낭독, 낭독하는 동안 유의정정보도문의 제목을 통상 프로그램 자막과 같은 크기로 계속 표기하라""고 밝혔습니다. 앞서 MBC는 윤석열 대통령이 2022년 9월 21일(현지시각) 미국 뉴욕에서 열린 글로벌펀드 제7차 재정공약 회의 뒤 ""국회에서 이 XX들이 승인 안 해주면 바이든은 쪽팔려서 어떡하나""라고 말했다고 보도하고, 해당 발언의 자막을 넣었습니다.관련 보도로 논란이 일자 김은혜 대통령실 홍보수석비서관은 '바이든'이 아닌 '날리면'이었다고 반박했습니다. 이후 외교부는 이 보도에 대해 언론중재위원회에서 조정 절차를 밟았지만 이견을 좁히지 못하고 MBC를 상대로 정정보도를 청구하는 소송을 냈다.#MBC #외교부 #정정보도 #바이든 #날리면 #자막논란",http://v.daum.net/v/20240112103903280
2,"  [속보] '바이든, 날리면' 사건 외교부 승소…법원 ""MBC 정정보도""  ",SBS,입력 2024. 1. 12. 10:39,2024. 1. 12. 10:39,"'바이든, 날리면' 사건 외교부 승소…법원 ""MBC 정정보도""(SBS 디지털뉴스편집부/사진=연합뉴스)
           ",http://v.daum.net/v/20240112103900274
3,"  [속보]외교부, ‘바이든 날리면’ 사건 승소…“MBC 정정보도”  ",파이낸셜뉴스,예병정,2024. 1. 12. 10:38,,http://v.daum.net/v/20240112103816259
4,"  [속보]'바이든, 날리면' 외교부 승소…法 ""MBC 정정보도""  ",아시아경제,이지은,2024. 1. 12. 10:37,이지은 기자 jelee0429@asiae.co.kr,http://v.daum.net/v/20240112103736239
5,"  ITZY 예지 ""박진영 청룡영화상 무대? 언급 곤란"" 대답 회피 (냉터뷰)  ",엑스포츠뉴스,이효반 기자,2024. 1. 12. 10:36,"(엑스포츠뉴스 이효반 기자) 예지가 소속사 사장인 박진영의 청룡영화상 무대에 관해 대답을 피했다.11일 유튜브 채널 '일일칠 - 117'에서는 '[덱스의 냉터뷰]속보 김덱스 냉터뷰에 '돈 내고' 출연한다는 사실 밝혀져..! l EP.16 ITZY 예지 편'이라는 제목의 영상이 공개됐다.이날 덱스는 ""보통 컴백을 할 때 PD님(박진영)이 한번 체크를 하시냐""고 질문했다.이에 예지는 ""무조건 하신다. 뮤직비디오랑 안무가지 다 체크해 주신다. 컨펌을 받아야만 진행이 된다""고 답해 박진영의 열정을 드러냈다.그러자 덱스는 예지에게 박진영의 청룡영화상 무대 반응을 물었다. 박진영은 지난해 12월 제44회 청룡영화상 시상식에서 파격적인 축하 무대를 꾸며 큰 화제를 모은 바 있다.덱스가 ""그때 예지 표정이 너무 궁금하다""고 하자, 예지는 ""아 저 질문 너무 곤란해요, 너무 곤란해. 죄송합니다 PD님""이라며 답하기를 꺼려 웃음을 자아냈다.앞서 예지는 '확신의 JYP상'이라는 언급에 관해 얘기하기도 했다.덱스가 JYP상에는 어떤 특징이 있는지 묻자, 예지는 ""PD님이 무쌍을 굉장히 좋아하시는 것 같다""면서 원더걸스 소희와 가수 박지윤을 대표주자로 언급했다.이어 ""그리고 토끼상도 있는 것 같다""며 트와이스 나연과 있지 유나를 언급, 고양이상과 토끼상이 JYP상인 것 같다고 견해를 밝혔다.사진= 유튜브 채널 '일일칠 - 117' 영상 캡처이효반 기자 khalf0721@xportsnews.com ",http://v.daum.net/v/20240112103620194
6,"  [속보]""후티 공격 등 역내 문제 이란에 책임 물을 것"" 美당국자  ",뉴시스,김난영 기자,2024. 1. 12. 10:36, [서울=뉴시스] 김난영 기자 = 후속기사가 이어집니다☞공감언론 뉴시스 imzero@newsis.com ,http://v.daum.net/v/20240112103611188
7,"  [속보] `바이든이냐, 날리면이냐`…외교부 판정승, 법원 ""MBC가 정정보도 해야""  ",디지털타임스,김미경,2024. 1. 12. 10:36,"[속보] '바이든이냐, 날리면이냐'…외교부 판정승, 법원 ""MBC가 정정보도 해야""",http://v.daum.net/v/20240112103609186
8,  [속보] '바이든 vs 날리면' 정정보도 청구 외교부 승소  ,YTN,김태원,2024. 1. 12. 10:36,"재작년 윤석열 대통령의 미국 순방 당시 MBC가 보도한 비속어 논란 기사를 정정해야 한다는 법원 판단이 나왔습니다. 서울서부지방법원은 오늘(12일) 외교부가 주식회사 문화방송을 상대로 낸 정정보도 청구 소송 1심 선고 공판에서 원고 승소로 판결했습니다. 앞서, MBC는 재작년 9월 미국을 방문한 윤 대통령이 비속어와 함께 의회에서 승인해주지 않으면 바이든 미국 대통령이 창피해서 어떡하느냔 취지로 말했다고 보도했습니다. 그러나 대통령실은 해당 발언이 '바이든'이 아닌 '날리면'이었다며 보도가 허위라고 반박했고, 외교부가 정정보도 청구 소송을 제기했습니다. 앞서, 재판부는 보도 진위를 가려내기 위해 윤 대통령 발언에 대한 전문가 감정도 진행했는데, '바이든'인지, '날리면'인진 감정할 수 없단 결과가 나왔습니다. YTN 김태원 (woni0414@ytn.co.kr)※ '당신의 제보가 뉴스가 됩니다' [카카오톡] YTN 검색해 채널 추가 [전화] 02-398-8585 [메일] social@ytn.co.kr[저작권자(c) YTN 무단전재, 재배포 및 AI 데이터 활용 금지]",http://v.daum.net/v/20240112103603176
9,"  [속보] 법원 “‘비속어 보도’ MBC, 정정보도하라”  ",KBS,공민경,2024. 1. 12. 10:35," [속보] 법원 “‘비속어 보도’ MBC, 정정보도하라”공민경 기자 (ball@kbs.co.kr)",http://v.daum.net/v/20240112103530153
