,뉴스제목,신문사,기자,입력시간,뉴스기사,url
0,"  [속보]바이든, 첫 경선지서 압승…“트럼프를 다시 패배자로”  ",문화일보,박세영 기자,2024. 2. 4. 10:18,"조 바이든 미국 대통령이 3일(현지시간) 사우스캐롤라이나주에서 열린 민주당 첫 공식 대선 후보 경선에서 압도적인 표차로 승리했다.바이든 대통령은 이날 오후 7시30분 7% 개표 현재 97.1%의 득표율을 기록했다.민주당 딘 필립스 하원의원과 작가 메리앤 윌리엄슨 후보는 각각 1.7%, 1.2%를 득표했다. 바이든 대통령은 다른 후보들에 90% 포인트 이상 앞섰다. 민주당의 첫 공식 경선인 사우스캐롤라이나 프라이머리는 이날 오전 7시부터 오후 7시까지 46개 카운티 곳곳에 설치된 투표장에서 진행됐다.승리 소식이 전해진 뒤 바이든 대통령은 소셜미디어 엑스(X·옛 트위터)에 올린 글에서 “2020년에 사우스캐롤라이나 유권자들은 정치평론가들이 틀렸음을 입증하고, 우리 선거에 새로운 생명을 불어넣었으며, 우리를 대선 승리로 가는 길에 올려놨다”고 밝혔다. 이어 “2024년인 지금 사우스캐롤라이나 주민들이 다시 목소리를 냈다”며 “난 여러분이 우리를 다시 대선 승리로, 그리고 도널드 트럼프를 다시 패배자로 만드는 길에 올려놨다는 것을 의심하지 않는다”고 덧붙였다.그는 “이번 선거는 그 어느 때보다 중요하다”며 “우리나라를 분열하고 퇴행시키려고 결심한 극단적이고 위험한 목소리들이 나라에 있으며 도널드 트럼프가 그들을 이끌고 있다”고 말했다.이어 “우리는 그렇게 되도록 둘 수 없다”며 “계속 앞으로 나아가자. 우리가 시작한 일을 함께 끝내자”고 촉구했다.사우스캐롤라이나에는 서약 대의원 55명이 걸려 있다. 민주당 후보로 선출되려면 전체 서약 대의원 3788명의 과반인 1895명을 가져가야 한다.박세영 기자",http://v.daum.net/v/20240204101806962
1,"  [속보] AP “바이든, 사우스캐롤라이나 민주당 경선 승리”  ",세계일보,김동환,2024. 2. 4. 10:12,김동환 기자 kimcharr@segye.com,http://v.daum.net/v/20240204101228888
2,"  [속보] '재선 도전' 바이든 ""트럼프를 다시 패배자로 만들 것""  ",강원도민일보,윤종진,2024. 2. 4. 10:10,Nan,http://v.daum.net/v/20240204101036868
3,"  [속보] “바이든, 미국 대선 민주당 첫 경선 사우스캐롤라이나 승리”  ",한국일보,권경성,2024. 2. 4. 10:03,"조 바이든 미국 대통령이 3일(현지시간) 사우스캐롤라이나주(州)에서 치러진 민주당 첫 대선 후보 경선에서 승리할 것이라고 미 CNN방송이 예측했다.CNN은 개표가 7% 진행된 이날 오후 7시 27분 “바이든이 사우스캐롤라이나 민주당 프라이머리(예비선거)에서 이길 것”이라고 예상했다. 이 시점에 바이든 대통령은 97.1%의 득표율을 기록했고, 나머지 후보인 진보 성향 작가 메리앤 윌리엄슨과 딘 필립스 민주당 하원의원(미네소타주)은 각각 1.7%, 1.2%를 득표했다. 바이든 대통령은 다른 후보들에 90% 포인트 이상 앞선 상황이다.사우스캐롤라이나에는 서약 대의원 55명이 걸려 있다. 민주당 후보로 선출되려면 전체 서약 대의원 3,788명의 과반인 1,895명을 가져가야 한다.컬럼비아(미국 사우스캐롤라이나주)= 권경성 특파원 ficciones@hankookilbo.com",http://v.daum.net/v/20240204100315742
4,"  ‘가만히 있으라’ 침묵 행진 제안했던 용혜인 의원 [세월호 10년, 100명의 기억-29]  ",시사IN,조남진 기자,2024. 2. 4. 09:42,조남진 기자 chanmool@sisain.co.kr,http://v.daum.net/v/20240204094241380
5,"  [속보]""바이든, 美 사우스캐롤라이나 민주당 경선 승리""  ",이데일리,이소현,2024. 2. 4. 09:38, [이데일리 이소현 기자] 3일(현지시간) 조 바이든 미국 대통령이 민주당의 사우스캐롤라이나 프라이머리에서 승리했다고 AP통신이 보도했다.이소현 (atoz@edaily.co.kr) ,http://v.daum.net/v/20240204093816310
6,"  [속보] AP ""바이든, 사우스캐롤라이나 민주당 경선 승리""  ",머니S,연희진 기자,2024. 2. 4. 09:31,"연희진 기자 toyo@mt.co.kr<저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스' 머니S, 무단전재 및 재배포 금지>",http://v.daum.net/v/20240204093152182
7,"  [속보] AP통신 ""바이든, 사우스캐롤라이나 경선서 승리"" 선언  ",뉴스1,김현 특파원,2024. 2. 4. 09:29,gayunlove@news1.kr ,http://v.daum.net/v/20240204092931120
8,"  [속보]AP ""바이든 대통령 사우스캐롤라이나 민주당 경선 승리""  ",서울경제,워싱턴=윤홍우 특파원,2024. 2. 4. 09:27,Nan,http://v.daum.net/v/20240204092718091
9,"  [속보]""바이든, 美 사우스캐롤라이나 민주당 경선 승리"" AP  ",뉴시스,이윤희 특파원,2024. 2. 4. 09:24, [컬럼비아(사우스캐롤라이나주)=뉴시스] 이윤희 특파원 = ☞공감언론 뉴시스 sympathy@newsis.com ,http://v.daum.net/v/20240204092404052
